,localhour,air1,air2,air3,furnace1,furnace2,waterheater1,total_thermal_load
75,2013-06-06 08:00:00-05,14630.233333333334,4200.466666666666,3767.4666666666662,910.65,1193.9999999999998,824.55,25527.36666666666
76,2013-06-07 08:00:00-05,7414.983333333332,2642.95,1158.7666666666664,406.7,872.6666666666665,1185.7166666666665,13681.78333333333
77,2013-06-08 08:00:00-05,2146.0166666666664,0.0,1963.5333333333335,570.7833333333333,238.60000000000002,394.1666666666666,5313.099999999999
78,2013-06-09 08:00:00-05,3863.5999999999995,0.0,1820.3999999999999,551.75,237.31666666666666,823.8166666666666,7296.883333333332
79,2013-06-10 08:00:00-05,15261.283333333336,5051.75,4223.1833333333325,999.5833333333333,1300.2833333333335,413.25,27249.333333333336
80,2013-06-11 08:00:00-05,13827.633333333333,4376.8499999999985,3226.266666666666,842.0333333333333,1242.9833333333338,791.7999999999998,24307.566666666662
81,2013-06-12 08:00:00-05,13097.466666666665,1896.5666666666664,3373.6333333333328,863.95,678.0833333333334,419.75,20329.45
82,2013-06-13 08:00:00-05,11670.216666666669,3869.1499999999996,3560.183333333332,904.5666666666664,1149.1999999999998,817.8666666666666,21971.183333333334
83,2013-06-14 08:00:00-05,12034.466666666669,3416.75,3286.1166666666654,866.2833333333332,1031.65,799.7833333333332,21435.05
84,2013-06-15 08:00:00-05,11571.083333333332,4598.899999999999,2516.7500000000005,679.9833333333332,1311.8499999999997,812.1499999999999,21490.716666666667
85,2013-06-16 08:00:00-05,15919.016666666666,7527.049999999999,4802.45,1099.3999999999999,1873.4499999999996,407.6,31628.966666666667
86,2013-06-17 08:00:00-05,15695.016666666665,5801.533333333332,5098.733333333333,1160.7499999999998,1420.4666666666665,820.333333333333,29996.833333333336
87,2013-06-18 08:00:00-05,12373.75,4516.366666666666,3040.2833333333324,776.0333333333333,1219.1833333333332,407.51666666666665,22333.133333333324
88,2013-06-19 08:00:00-05,14699.300000000001,10613.649999999998,5123.433333333332,1159.9666666666665,2508.8999999999996,401.2333333333333,34506.48333333333
89,2013-06-20 08:00:00-05,14153.066666666664,6575.999999999999,4348.666666666665,1030.583333333333,1617.75,822.8999999999999,28548.966666666664
90,2013-06-21 08:00:00-05,16365.349999999999,5952.733333333333,4574.7666666666655,1057.5833333333335,1491.3500000000001,578.5,30020.28333333334
91,2013-06-22 08:00:00-05,17212.9,4497.15,4847.433333333332,1109.0500000000002,1145.0500000000002,653.3166666666666,29464.899999999998
92,2013-06-23 08:00:00-05,13651.116666666663,4003.466666666666,3601.3333333333335,890.75,1082.0833333333333,813.2166666666665,24041.966666666664
93,2013-06-24 08:00:00-05,13844.349999999995,7757.2,4606.049999999999,1059.1499999999996,1834.5999999999997,414.9,29516.25
94,2013-06-25 08:00:00-05,13226.749999999998,11508.05,5204.9,1173.6,2668.2666666666664,813.1166666666666,34594.683333333334
95,2013-06-26 08:00:00-05,20161.566666666666,8909.483333333334,6031.199999999999,1320.9,2042.3833333333332,449.4,38914.933333333334
96,2013-06-27 08:00:00-05,18110.566666666666,6339.616666666667,6317.283333333334,1363.6999999999998,1493.3833333333334,404.8833333333333,34029.43333333333
97,2013-06-28 08:00:00-05,21510.7,9885.166666666666,7679.949999999998,1576.1166666666666,2142.2333333333336,409.9666666666665,43204.133333333324
